Complexity,Loss,Equation
1,39.6907,"x0"
3,36.25168,"x0 ^ 0.9819608"
4,20.777342,"sqrt(x0 * 31.129427)"
5,18.144566,"(x0 * 8.765819) ^ 0.61288404"
6,14.234408,"exp((-13.66758 / x0) + 3.9319675)"
8,11.642045,"exp((-17.86195 / x0) + 3.8920348) + 5.089437"
12,11.255896,"sqrt((x0 ^ log(sqrt((x0 * -1.1622409) + 96.35798))) + 17.252745)"
13,9.273443,"exp((-13.319765 / x0) + 3.9292288) + tan((-14.407231 / x0) / 2.0559695)"
15,7.8708177,"(exp((-16.394503 / x0) + 3.8845258) + tan((-14.482785 / x0) / 2.0372593)) + 4.2935753"
